Date,Open,High,Low,Close,Adj Close,Volume
2015-12-10,121200.0,124600.0,120800.0,123600.0,120811.59375,415635
2015-12-11,122600.0,128000.0,122600.0,128000.0,125112.3203125,387800
2015-12-14,126800.0,128000.0,125600.0,126600.0,123743.921875,362325
2015-12-15,129200.0,129600.0,127000.0,128600.0,125698.796875,337025
2015-12-16,129800.0,130400.0,129000.0,129200.0,126285.2578125,385485
2015-12-17,130800.0,131800.0,129200.0,130600.0,127653.6796875,352730
2015-12-18,129800.0,130600.0,127200.0,128000.0,125112.3203125,247935
2015-12-21,129000.0,130400.0,128400.0,129600.0,126676.2265625,263945
2015-12-22,129200.0,130800.0,127400.0,130600.0,127653.6796875,230755
2015-12-23,130600.0,130800.0,129000.0,130600.0,127653.6796875,205850
2015-12-24,129800.0,130800.0,129200.0,129400.0,126480.7578125,164080
2015-12-28,129400.0,130000.0,127600.0,128200.0,125307.8125,237555
2015-12-29,129800.0,129800.0,126200.0,128400.0,125719.0546875,253240
2015-12-30,128400.0,133600.0,127800.0,131600.0,128852.25,321075
2016-01-04,130000.0,131600.0,126400.0,126400.0,123760.8125,466360
2016-01-05,126600.0,128400.0,126200.0,127400.0,124739.9296875,347280
2016-01-06,129000.0,129000.0,124400.0,124600.0,121998.3828125,478410
2016-01-07,125200.0,132000.0,125200.0,130400.0,127677.296875,626265
2016-01-08,130400.0,131800.0,128400.0,130400.0,127677.296875,319610
2016-01-11,129000.0,130200.0,125200.0,125600.0,122977.515625,443100
2016-01-12,127200.0,130800.0,126400.0,130000.0,127285.6484375,390050
2016-01-13,131200.0,131400.0,128600.0,129800.0,127089.8203125,461100
2016-01-14,128400.0,131800.0,128000.0,130200.0,127481.453125,429120
2016-01-15,132400.0,134600.0,131600.0,134000.0,131202.109375,642075
2016-01-18,132600.0,137400.0,132600.0,137400.0,134531.125,703005
2016-01-19,136600.0,136800.0,132800.0,134000.0,131202.109375,722930
2016-01-20,134000.0,134600.0,130200.0,132800.0,130027.171875,476755
2016-01-21,131200.0,131400.0,126200.0,127800.0,125131.578125,675930
2016-01-22,130000.0,133600.0,128000.0,133600.0,130810.46875,456000
2016-01-25,133600.0,135400.0,131400.0,134600.0,131789.59375,306275
2016-01-26,135000.0,136200.0,134200.0,136000.0,133160.34375,280390
2016-01-27,137400.0,137400.0,133200.0,134800.0,131985.390625,332355
2016-01-28,128400.0,130000.0,124200.0,126200.0,123564.9921875,1387830
2016-01-29,125400.0,126200.0,121000.0,125600.0,122977.515625,1347000
2016-02-01,124400.0,125800.0,121600.0,122600.0,120040.15625,722640
2016-02-02,122200.0,123600.0,118400.0,120000.0,117494.453125,1117265
2016-02-03,118600.0,121200.0,118600.0,120200.0,117690.2578125,473700
2016-02-04,121200.0,121400.0,118800.0,120400.0,117886.0859375,435350
2016-02-05,120000.0,121000.0,119200.0,119800.0,117298.625,276565
2016-02-11,117800.0,117800.0,112600.0,112600.0,110248.953125,921705
2016-02-12,111000.0,113200.0,108800.0,111200.0,108878.171875,990410
2016-02-15,112200.0,113400.0,109600.0,111200.0,108878.171875,732590
2016-02-16,110600.0,116000.0,110600.0,115000.0,112598.84375,619715
2016-02-17,115600.0,117400.0,114800.0,115000.0,112598.84375,792315
2016-02-18,115600.0,117600.0,115200.0,116400.0,113969.6015625,416140
2016-02-19,115800.0,116400.0,113600.0,114600.0,112207.1953125,383640
2016-02-22,115000.0,116200.0,113000.0,113000.0,110640.5859375,431360
2016-02-23,113800.0,117400.0,113600.0,116800.0,114361.2578125,559285
2016-02-24,116600.0,116800.0,114400.0,116000.0,113577.9609375,356105
2016-02-25,116200.0,117800.0,115600.0,116400.0,113969.6015625,285475
2016-02-26,116200.0,117200.0,115000.0,116000.0,113577.9609375,229860
2016-02-29,116000.0,117000.0,114000.0,114400.0,112011.3671875,393545
2016-03-02,116800.0,122400.0,116200.0,121800.0,119256.859375,595495
2016-03-03,123000.0,123000.0,120400.0,122000.0,119452.6796875,374365
