value,label
KRX:095340,ISC
KRX:393890,더블유씨피
KRX:141080,레고켐바이오
KRX:067630,HLB생명과학
KRX:067160,아프리카TV
KRX:036830,솔브레인홀딩스
KRX:025900,동화기업
KRX:281740,레이크머티리얼즈
KRX:253450,스튜디오드래곤
KRX:098460,고영
KRX:096530,씨젠
KRX:214370,케어젠
KRX:067310,하나마이크론
KRX:399720,가온칩스
KRX:140860,파크시스템스
KRX:140410,메지온
KRX:237690,에스티팜
KRX:365340,성일하이텍
KRX:078600,대주전자재료
KRX:034230,파라다이스
KRX:086900,메디톡스
KRX:064760,티씨케이
KRX:298380,에이비엘바이오
KRX:195940,HK이노엔
KRX:009520,포스코엠텍
KRX:440110,파두
KRX:036540,SFA반도체
KRX:214450,파마리서치
KRX:213420,덕산네오룩스
KRX:101490,에스앤에스텍
KRX:085660,차바이오텍
KRX:166090,하나머티리얼즈
KRX:080220,제주반도체
KRX:383310,에코프로에이치엔
KRX:137400,피엔티
KRX:225570,넥슨게임즈
KRX:222800,심텍
KRX:278280,천보
KRX:078130,국일제지
KRX:418550,제이오
KRX:056190,에스에프에이
KRX:101360,에코앤드림
KRX:031980,피에스케이홀딩스
KRX:003380,하림지주
KRX:084370,유진테크
KRX:420770,기가비스
KRX:039200,오스코텍
KRX:376300,디어유
KRX:041190,우리기술투자
